Scenario,Region,Variable,2020,2025,2030,2035,2040,2045,2050
Windfall_CP,Europe_Eastern,electricity_price,0.119324,0.120433,0.112812,0.099169,0.097418,0.09927,0.100481
Windfall_CP,Europe_Non_EU,electricity_price,0.080405,0.082194,0.078584,0.071916,0.090897,0.104601,0.112533
Windfall_CP,European Free Trade Association,electricity_price,0.094469,0.097832,0.094744,0.096852,0.09674,0.09447,0.092744
Windfall_CP,India,electricity_price,0.069237,0.070968,0.070825,0.081809,0.082731,0.089272,0.093803
Windfall_CP,Indonesia,electricity_price,0.05996,0.056527,0.06873,0.079701,0.094529,0.104595,0.103894
Windfall_CP,Japan,electricity_price,0.107137,0.086108,0.060068,0.093491,0.100045,0.122912,0.117086
Windfall_CP,Mexico,electricity_price,0.098965,0.098478,0.095054,0.090858,0.093163,0.091782,0.087222
Windfall_CP,Middle East,electricity_price,0.169083,0.130711,0.116218,0.155043,0.138744,0.143405,0.145675
Windfall_CP,Pakistan,electricity_price,0.119364,0.122067,0.124722,0.133654,0.136429,0.134619,0.130022
Windfall_CP,Russia,electricity_price,0.096115,0.096925,0.09871,0.101805,0.099752,0.107535,0.107443
Windfall_CP,South Africa,electricity_price,0.066594,0.064552,0.059091,0.079339,0.09017,0.097686,0.101138
Windfall_CP,South America_Northern,electricity_price,0.180317,0.170327,0.158657,0.157382,0.162436,0.169572,0.174073
Windfall_CP,South America_Southern,electricity_price,0.111642,0.107733,0.102678,0.103729,0.104235,0.10305,0.101286
Windfall_CP,South Asia,electricity_price,0.099496,0.098402,0.097725,0.102465,0.104762,0.105823,0.105024
Windfall_CP,South Korea,electricity_price,0.083193,0.079849,0.064062,0.07006,0.069575,0.14711,0.141957
Windfall_CP,Southeast Asia,electricity_price,0.067383,0.069415,0.069744,0.072668,0.074647,0.076116,0.076097
Windfall_CP,Taiwan,electricity_price,0.06412,0.065287,0.064365,0.077265,0.093126,0.09972,0.102652
Windfall_CP,USA,electricity_price,0.092383,0.082228,0.085807,0.090545,0.094285,0.093613,0.092629
Windfall_NDC,Africa_Eastern,electricity_price,0.140012,0.131068,0.128636,0.138419,0.137919,0.134529,0.130641
Windfall_NDC,Africa_Northern,electricity_price,0.120972,0.119927,0.115875,0.115542,0.115036,0.113305,0.112045
Windfall_NDC,Africa_Southern,electricity_price,0.170442,0.196687,0.205333,0.202433,0.200982,0.19886,0.188786
Windfall_NDC,Africa_Western,electricity_price,0.121633,0.131877,0.128353,0.138647,0.146507,0.150229,0.149352
Windfall_NDC,Argentina,electricity_price,0.131026,0.140402,0.139659,0.142894,0.14473,0.146862,0.146461
Windfall_NDC,Australia_NZ,electricity_price,0.07819,0.08345,0.109054,0.110735,0.10414,0.107478,0.108674
Windfall_NDC,Brazil,electricity_price,0.099524,0.039324,0.064319,0.075775,0.087124,0.09067,0.092486
Windfall_NDC,Canada,electricity_price,0.093255,0.089909,0.084133,0.084067,0.090579,0.091697,0.091258
Windfall_NDC,Central America and Caribbean,electricity_price,0.12492,0.139687,0.130128,0.133747,0.138186,0.136431,0.131061
